Name,Time,Location,Link
TSOC Takes Empire,"Tuesday, December 11, 2018 at 10 PM – 4 AM",Karma Club Ealing Broadway,https://www.facebook.com/events/577562812695247
Week 9 - Bowling!,Today at 7:30 PM,Tenpin,https://www.facebook.com/events/580095459109448
Tech Crew Secret Santa!,Tuesday at 7:30 PM – 11 PM,Pizza Express,https://www.facebook.com/events/201544957389163
Boarmingham Christmas Market!,Tomorrow at 1 PM – 6 PM,The Boar,https://www.facebook.com/events/263446477688971
End of Term Meal,Tomorrow at 5 PM,Varsity Coventry,https://www.facebook.com/events/2307756592629256
Amnesty & Unicef: Christmas Dinner!,"Friday, December 7, 2018 at 8 PM – 11 PM",Cellar Club Leamington,https://www.facebook.com/events/737642283249262
Unicef and Amnesty present: Pre-drinks and Neon,"Friday, December 7, 2018 at 9:30 PM – 11:30 PM","60 Ranelagh Terrace, Leamington Spa, CV31 3BT, United Kingdom",https://www.facebook.com/events/197033544516964
Dim Sum and Chill with Birmingham Christmas Market,Today at 11 AM – 5 PM,China Court Restaurant,https://www.facebook.com/events/572329893217863
End of Term Meal,Monday at 6 PM – 8 PM,Dirty Duck,https://www.facebook.com/events/1112087858949307
Love again,"Thursday, December 6, 2018 at 5 PM – 7 PM","R0.03, Ramphal building",https://www.facebook.com/events/266903197332239
Birmingham & Warwick Tories Bar Crawl,"Thursday, December 6, 2018 at 8 PM – 4 AM",Vodbull,https://www.facebook.com/events/238172940207350
Warwick Conservatives present John Bercow MP,"Monday, December 31, 2018 at 12 AM",Date and Location TBC,https://www.facebook.com/events/663350347205769
Christmas meal!,Monday at 6 PM – 9 PM,Xananas Restaurant,https://www.facebook.com/events/317436465530115
Engineering Society Hits Birmingham Christmas Market!,Today at 3 PM – 9 PM,Warwick Engineering Society,https://www.facebook.com/events/315599702369065
January Exams Revision Session! (Wk10),Tuesday at 6:15 PM – 7:30 PM,Warwick Engineering Society,https://www.facebook.com/events/357931234773677
Evolution: The Future of Technology,"Wednesday, January 23, 2019 at 2 PM – 6:30 PM",Warwick Engineering Society,https://www.facebook.com/events/312728745998567
SOLD OUT - Prodrive Site Visit,"Wednesday, January 30, 2019 at 4:30 PM – 8:15 PM",Warwick Engineering Society,https://www.facebook.com/events/847026902167644
Networking & Interview Workshop with Gwyn Day,Monday at 5 PM – 7 PM,Warwick Finance Societies,https://www.facebook.com/events/276438989723111
Birmingham Christmas Market,"Friday, December 7, 2018 at 2 PM",Birmingham German Christmas Market,https://www.facebook.com/events/2243136479289893
WGS Poker Night,Today at 8:30 PM – 12 AM,H5.45,https://www.facebook.com/events/966867240178527
Greek Για Την Ζωή - 7/12 - with DJ Demis.Ö.,"Friday, December 7, 2018 at 11 PM – 3:30 AM",Altoria Leamington,https://www.facebook.com/events/757044324639066
WBS Graduation ala D'allon Party!,"Friday, January 18, 2019 at 10:30 PM – 4:30 AM",PMA Events,https://www.facebook.com/events/2020111674750256
Warwick Games 2018,Today at 8 AM – 8 PM,Warwick Hong Kong Society,https://www.facebook.com/events/778580985812483
"Postponed! - Free Speech, Religion and Gender Equality","Monday, January 14, 2019 at 6 PM – 8 PM",TBA,https://www.facebook.com/events/570961446676716
Universal Basic Income Roundtable and Guest Speaker,"Wednesday, February 20, 2019 at 6 PM – 7 PM",OC1.01,https://www.facebook.com/events/273847996806984
LitSoc Christmas Dinner!,Monday at 6:30 PM,Varsity Warwick,https://www.facebook.com/events/187373475442900
MSF Conference: the fight for socialism today,"Saturday, February 16, 2019 at 10 AM – 6 PM",Central London,https://www.facebook.com/events/312208749622042
WMS goes to Jump In! - Saturday Week 9 **CANCELLED**,Today at 3 PM – 4 PM,Jump In Trampoline Parks: Warwick,https://www.facebook.com/events/365851210653824
Coffee Morning - Christmas Edition,Tuesday at 10 AM – 11 AM,B1.12,https://www.facebook.com/events/361914431036371
WMS Talks: Shrinking Lattice Polyhedra,Tuesday at 6 PM – 7 PM,B3.03 (Zeeman Building),https://www.facebook.com/events/1902071293195307
POP! Week 10 Circle - Childhood TV Shows,"Wednesday, December 5, 2018 at 7 PM – 10 PM",Bar Fusion,https://www.facebook.com/events/270121773848151
WMS Ball 2019 (FEAT. DISCO DAVE),"Friday, January 11, 2019 at 6 PM – 12 AM",Hilton Warwick / Stratford-upon-Avon,https://www.facebook.com/events/187038422202699
Christmas Showcase,Tomorrow at 2:15 PM – 5 PM,Warwick SU Atrium,https://www.facebook.com/events/297248127579057
Pride Week,Nov 26 – Dec 1,University of Warwick,https://www.facebook.com/events/1667526356684916
Pride Does GLOW,Tuesday at 5 PM – 7 PM,Terrace Bar,https://www.facebook.com/events/1945586572411932
Pride Christmas Meal,"Wednesday, December 5, 2018 at 6 PM – 9:30 PM",Varsity Warwick,https://www.facebook.com/events/565796630509799
Salsa Christmas Dinner,Tuesday at 7 PM – 1 AM,Zizzi,https://www.facebook.com/events/537944946677125
Skate Saturdays with Warwick Skate,"Nov 3, 2018 – Mar 9, 2019","Leamington Spa, Warwickshire",https://www.facebook.com/events/2572408576117769
EqualAccess Speaker Event And Discussion,Tuesday at 6 PM – 8 PM,Oc1.03 Uni of Warwick,https://www.facebook.com/events/341783839736976
CV & Cover Letter Clinic | Week 10,Monday at 3:30 PM – 5 PM,"MB0.08, New Maths and Statistics Building",https://www.facebook.com/events/374258530011053
Case Study Cafe | Week 10,"Wednesday, December 5, 2018 at 2:30 PM – 4 PM","OC0.01, The Oculus Building",https://www.facebook.com/events/494857291025322
Warwick BC ONE 2018,Today at 7 PM – 10 PM,Westwood Dance Studio,https://www.facebook.com/events/506323373216919
WSC: 'Rent' World AIDS Day Charity Screening • 35mm,Today at 3:30 PM – 6:10 PM,Warwick Student Cinema,https://www.facebook.com/events/1984647664965505
WSC: Love Actually 15:30/18:30,Tomorrow,Warwick Student Cinema,https://www.facebook.com/events/1668061016653573
WSC: The Muppet Christmas Carol,Tuesday at 7:30 PM – 9:15 PM,Warwick Student Cinema,https://www.facebook.com/events/286539218741203
Film Soc at Harry Potter Studios!,"Sunday, February 24, 2019 at 1:30 PM","Harry Potter Studios, Levensden",https://www.facebook.com/events/517822488694190
Tap Christmas Meal,Today at 7 PM,LEIF Tearooms and Piano Bar,https://www.facebook.com/events/2314858572084494
Warwick Tap Leam Bar Crawl,"Thursday, December 6, 2018 at 7 PM",,https://www.facebook.com/events/340391480109169
How is artificial intelligence shaping the future of the NHS?,"Tuesday, January 15, 2019 at 6:30 PM",,https://www.facebook.com/events/342227246554858
WWCS Winter Social,"Thursday, December 6, 2018 at 9 PM – 12 AM","9 Wise Street, Leamington Spa, CV31 3AP, United Kingdom",https://www.facebook.com/events/1968479683228227
Week 10 Language Cafe + Neon,"Friday, December 7, 2018 at 6 PM – 9 PM",Terrace Bar,https://www.facebook.com/events/1226631500808890
WUDs Christmas Dinner,"Friday, December 7, 2018 at 7 PM – 10 PM",Pizza Express,https://www.facebook.com/events/265183707450636
Xmas Social on week 9 - Love Actually,Tomorrow at 6:30 PM – 8:30 PM,Warwick Yoga Page,https://www.facebook.com/events/477789122711310
Local Hack Day 2018,Today at 9 AM – 9 PM,University of Warwick,https://www.facebook.com/events/759762171023016
Campus Startup,"Thursday, December 6, 2018 at 6 PM – 8 PM",Bar Fusion,https://www.facebook.com/events/2233087857016312
